Ref,Val,Package,PosX,PosY,Rot,Side
"L1","2.2uH","L_Taiyo-Yuden_MD-3030",105.700000,-109.300000,270.000000,top
"L2","2.2uH","L_Taiyo-Yuden_MD-3030",111.900000,-104.000000,180.000000,top
"L3","2.2uH","L_Taiyo-Yuden_MD-3030",92.675000,-109.950000,0.000000,top
"L4","2.2uH","L_Taiyo-Yuden_MD-3030",79.160000,-91.760000,0.000000,top
"L5","2.2uH","L_0402",90.500000,-106.175000,90.000000,top
"Q1","DTA114YKA","SOT-23",116.900000,-103.000000,180.000000,top
"R1","100","R_0402",83.750000,-85.025000,315.000000,top
"R2","22","R_0402",90.825000,-99.525000,270.000000,top
"R3","5k1","R_0402",86.550000,-90.000000,180.000000,top
"R4","5k1","R_0402",86.550000,-85.900000,180.000000,top
"R6","DNP","R_0402",119.100000,-104.100000,270.000000,top
"R7","47k","R_0402",76.660000,-94.540000,180.000000,top
"R8","47k","R_0402",76.580000,-95.370000,180.000000,top
"R9","47k","R_0402",76.590000,-96.200000,180.000000,top
"R10","47k","R_0402",78.125000,-106.350000,0.000000,top
"R11","47k","R_0402",79.825000,-106.775000,0.000000,top
"R12","47k","R_0402",81.500000,-106.775000,180.000000,top
"R13","47k","R_0402",90.550000,-92.450000,180.000000,top
"R14","5k1","R_0402",110.500000,-120.750000,135.000000,top
"R15","22","R_0402",115.650000,-113.950000,0.000000,top
"R16","200k","R_0402",105.700000,-113.325000,270.000000,top
"R17","2.2k","R_0402",117.700000,-105.300000,0.000000,top
"R18","47k","R_0402",116.830000,-107.350000,0.000000,top
"R21","200k","R_0402",94.200000,-122.775000,0.000000,top
"R22","DNP","R_0402",99.500000,-115.000000,90.000000,top
"R23","DNP","R_0402",100.500000,-115.000000,90.000000,top
"R24","5k1","R_0402",97.300000,-115.300000,180.000000,top
"R25","5k1","R_0402",102.700000,-115.300000,0.000000,top
"R26","47k","R_0402",105.600000,-114.750000,0.000000,top
"R27","0R","R_0805",122.940000,-94.450000,90.000000,top
"R28","2.2k","R_0402",107.450000,-115.050000,0.000000,top
"R29","DNP","R_0402",109.300000,-115.050000,180.000000,top
"R30","5.1k","R_0402",94.900000,-109.900000,270.000000,top
"R31","3.3k","R_0402",95.725000,-109.925000,270.000000,top
"R32","100","R_0402",96.550000,-110.875000,270.000000,top
"R33","100","R_0402",86.625000,-82.150000,315.000000,top
"R34","22","R_0402",97.550000,-109.050000,90.000000,top
"R35","5k1","R_0402",90.600000,-119.075000,180.000000,top
"R36","5k1","R_0402",90.600000,-118.250000,180.000000,top
"R37","2k2","R_0402",90.650000,-115.275000,270.000000,top
"R38","3k9","R_0402",90.750000,-116.525000,0.000000,top
"R39","5k1","R_0402",103.330000,-95.750000,180.000000,top
"R40","200k","R_0402",95.000000,-82.750000,90.000000,top
"R41","2k2","R_0402",95.000000,-81.100000,90.000000,top
"R42","47k","R_0402",103.000000,-88.800000,90.000000,top
"R43","680","R_0402",104.825000,-89.750000,270.000000,top
"R44","0","R_0402",90.600000,-91.350000,0.000000,top
"R45","0","R_0402",95.450000,-84.050000,0.000000,top
"R46","0","R_0402",109.275000,-93.375000,0.000000,top
"R47","DNP","R_0402",95.000000,-85.350000,90.000000,top
"R48","2.2k","R_0402",109.240000,-94.850000,180.000000,top
"R49","2.2k","R_0402",107.550000,-95.090000,180.000000,top
"R50","2.2k","R_0402",106.280000,-95.670000,90.000000,top
"R51","2.2k","R_0402",105.440000,-96.170000,90.000000,top
"R52","DNP","R_0402",92.275000,-91.350000,0.000000,top
"R54","22","R_0402",119.800000,-94.200000,270.000000,top
"R58","47k","R_0402",101.450000,-88.400000,0.000000,top
"R59","47k","R_0402",104.500000,-88.300000,180.000000,top
"R60","47k","R_0402",99.300000,-88.400000,180.000000,top
"R61","100","R_0402",104.000000,-83.100000,270.000000,top
"R62","100","R_0402",96.000000,-86.200000,270.000000,top
"R63","47k","R_0402",113.000000,-81.550000,90.000000,top
"R64","47k","R_0402",85.580000,-92.300000,270.000000,top
"R65","47k","R_0402",86.400000,-92.300000,270.000000,top
"R66","DNP","R_0402",76.575000,-100.350000,0.000000,top
"R67","DNP","R_0402",76.575000,-98.690000,0.000000,top
"R68","DNP","R_0402",76.575000,-99.520000,0.000000,top
"R69","DNP","R_0402",76.575000,-97.860000,0.000000,top
"R70","47k","R_0402",82.290000,-92.300000,270.000000,top
"R71","47k","R_0402",83.110000,-92.300000,270.000000,top
"R72","47k","R_0402",84.750000,-92.300000,270.000000,top
"R73","47k","R_0402",87.220000,-92.300000,270.000000,top
"R74","47k","R_0402",86.990000,-106.770000,0.000000,top
"R75","47k","R_0402",90.825000,-97.875000,270.000000,top
"R76","22","R_0402",76.580000,-97.030000,0.000000,top
"R77","22","R_0402",83.930000,-92.300000,270.000000,top
"R78","200k","R_0402",103.330000,-97.550000,0.000000,top
"R79","2k2","R_0402",95.500000,-107.375000,270.000000,top
"R80","2k2","R_0402",95.325000,-108.650000,180.000000,top
"R81","22","R_0402",103.330000,-96.650000,0.000000,top
"R82","240","R_0402",90.825000,-101.200000,90.000000,top
"R83","240","R_0402",90.825000,-102.850000,270.000000,top
"R84","10M","R_0402",102.850000,-104.800000,270.000000,top
"R86","5k1","R_0402",99.200000,-107.375000,270.000000,top
"R87","2k2","R_0402",104.585000,-96.170000,90.000000,top
"R88","2k2","R_0402",108.350000,-99.650000,0.000000,top
"R89","6k04","R_0402",102.900000,-100.825000,270.000000,top
"R90","51","R_0402",108.325000,-97.990001,180.000000,top
"R91","51","R_0402",108.335000,-98.820000,180.000000,top
"R92","51","R_0402",105.900000,-97.410000,180.000000,top
"R93","51","R_0402",105.890000,-98.260000,180.000000,top
"SW3","RST","SW_SPST_PTS810",121.400000,-101.900000,90.000000,top
"U1","AllWinner-S3(FBGA-234)","FBGA-234(Pitch-0.65mm_Pad-0.3mm_11x11x1.08mm)",96.850000,-100.950000,0.000000,top
"U3","AXP209(QFN-48)","QFN-48-1EP_6x6mm_P0.4mm_EP4.05x4.05mm",112.200000,-110.300000,270.000000,top
"U4","SY8089AAAC","SOT-23-5",92.675000,-113.525000,270.000000,top
"U5","SY6280AAC","SOT-23-5",93.050000,-119.050000,270.000000,top
"Y1","12.288Mhz","Oscillator_3225",112.000000,-97.950000,90.000000,top
"Y2","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",104.950000,-105.800000,180.000000,top
"Y3","24MHz","Oscillator_3225",105.200000,-102.200000,270.000000,top
