Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R19,2.2k,R_0402,118.75,-106.2,0,top
R20,2.2k,R_0402,118.75,-107.2,0,top
R21,200k,R_0402,94.2,-122.775,0,top
R22,DNP,R_0402,99.5,-115,90,top
R23,DNP,R_0402,100.5,-115,90,top
R24,5k1,R_0402,97.3,-115.3,180,top
R25,5k1,R_0402,102.7,-115.3,0,top
R26,47k,R_0402,105.6,-114.75,0,top
R27,0R,R_0805,122.94,-94.45,90,top
R28,2.2k,R_0402,107.45,-115.05,0,top
R29,DNP,R_0402,109.3,-115.05,180,top
R30,5.1k,R_0402,94.9,-109.9,270,top
R31,3.3k,R_0402,95.725,-109.925,270,top
R32,100,R_0402,96.55,-110.875,270,top
R33,100,R_0402,86.625,-82.15,315,top
R34,22,R_0402,97.55,-109.05,90,top
R35,5k1,R_0402,90.6,-119.075,180,top
R36,5k1,R_0402,90.6,-118.25,180,top
R37,2k2,R_0402,90.65,-115.275,270,top
R38,3k9,R_0402,90.75,-116.525,0,top
R39,5k1,R_0402,103.33,-95.75,180,top
R40,200k,R_0402,95,-82.75,90,top
R41,2k2,R_0402,95,-81.1,90,top
R42,47k,R_0402,103,-88.8,90,top
R43,680,R_0402,104.825,-89.75,270,top
R44,0,R_0402,90.6,-91.35,0,top
R45,0,R_0402,95.45,-84.05,0,top
R46,0,R_0402,109.275,-93.375,0,top
R47,DNP,R_0402,95,-85.35,90,top
R48,2.2k,R_0402,109.24,-94.85,180,top
R49,2.2k,R_0402,107.55,-95.09,180,top
R50,2.2k,R_0402,106.28,-95.67,90,top
R51,2.2k,R_0402,105.44,-96.17,90,top
R52,DNP,R_0402,92.275,-91.35,0,top
R54,22,R_0402,119.05,-94.2,270,top
R58,47k,R_0402,101.45,-88.4,0,top
R59,47k,R_0402,104.5,-88.3,180,top
R60,47k,R_0402,99.3,-88.4,180,top
R61,100,R_0402,104,-83.1,270,top
R62,100,R_0402,96,-86.2,270,top
R63,47k,R_0402,113,-81.55,90,top
R64,47k,R_0402,85.58,-92.3,270,top
R65,47k,R_0402,86.4,-92.3,270,top
R66,DNP,R_0402,76.575,-100.35,0,top
R67,DNP,R_0402,76.575,-98.69,0,top
R68,DNP,R_0402,76.575,-99.52,0,top
R69,DNP,R_0402,76.575,-97.86,0,top
R70,47k,R_0402,82.29,-92.3,270,top
R71,47k,R_0402,83.11,-92.3,270,top
R72,47k,R_0402,84.75,-92.3,270,top
R73,47k,R_0402,87.22,-92.3,270,top
R74,47k,R_0402,86.99,-106.77,0,top
R75,47k,R_0402,90.825,-97.875,270,top
R76,22,R_0402,76.58,-97.03,0,top
R77,22,R_0402,83.93,-92.3,270,top
R78,200k,R_0402,103.33,-97.55,0,top
R79,2k2,R_0402,95.5,-107.375,270,top
R80,2k2,R_0402,95.325,-108.65,180,top
R81,22,R_0402,103.33,-96.65,0,top
R82,240,R_0402,90.825,-101.2,90,top
R83,240,R_0402,90.825,-102.85,270,top
R84,10M,R_0402,102.85,-104.8,270,top
R86,5k1,R_0402,99.2,-107.375,270,top
R87,2k2,R_0402,104.585,-96.17,90,top
R88,2k2,R_0402,108.35,-99.65,0,top
R89,6k04,R_0402,102.9,-100.825,270,top
R90,51,R_0402,108.325,-97.990001,180,top
R91,51,R_0402,108.335,-98.82,180,top
R92,51,R_0402,105.9,-97.41,180,top
R93,51,R_0402,105.89,-98.26,180,top
SW1,DNP,SW_SPST_PTS810,121.4,-103.7,0,top
SW2,DNP,SW_SPST_PTS810,121.4,-100.1,0,top
SW3,RST,SW_SPST_PTS810,121.4,-101.9,90,top
U1,AllWinner-S3(FBGA-234),FBGA-234(Pitch-0.65mm_Pad-0.3mm_11x11x1.08mm),96.85,-100.95,0,top
U2,AT24CS16-MAHM,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,94.275,-93.925,180,top
U3,AXP209(QFN-48),QFN-48-1EP_6x6mm_P0.4mm_EP4.05x4.05mm,112.2,-110.3,270,top
U4,SY8089AAAC,SOT-23-5,92.675,-113.525,90,top
U5,SY6280AAC,SOT-23-5,93.05,-119.05,90,top
Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,104.95,-105.8,180,top
