Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R9,47k,R_0402,83.59,-96.2,180,top
R10,47k,R_0402,85.125,-106.35,0,top
R11,47k,R_0402,86.825,-106.775,0,top
R12,47k,R_0402,88.5,-106.775,180,top
R13,47k,R_0402,97.55,-92.45,180,top
R14,5k1,R_0402,117.5,-120.75,135,top
R15,22,R_0402,122.65,-113.95,0,top
R16,200k,R_0402,112.7,-113.325,270,top
R17,2.2k,R_0402,124.7,-105.3,0,top
R18,47k,R_0402,123.83,-107.35,0,top
R21,200k,R_0402,101.2,-122.775,0,top
R22,DNP,R_0402,106.5,-115,90,top
R23,DNP,R_0402,107.5,-115,90,top
R24,5k1,R_0402,104.3,-115.3,180,top
R25,5k1,R_0402,109.7,-115.3,0,top
R26,47k,R_0402,112.6,-114.75,0,top
R27,0R,R_0805,129.94,-94.45,90,top
R28,2.2k,R_0402,114.45,-115.05,0,top
R29,DNP,R_0402,116.3,-115.05,180,top
R30,5.1k,R_0402,101.9,-109.9,270,top
R31,3.3k,R_0402,102.725,-109.925,270,top
R32,100,R_0402,103.55,-110.875,270,top
R33,100,R_0402,93.625,-82.15,315,top
R34,22,R_0402,104.55,-109.05,90,top
R35,5k1,R_0402,97.6,-119.075,180,top
R36,5k1,R_0402,97.6,-118.25,180,top
R37,2k2,R_0402,97.65,-115.275,270,top
R38,3k9,R_0402,97.75,-116.525,0,top
R39,5k1,R_0402,110.33,-95.75,180,top
R40,200k,R_0402,102,-82.75,90,top
R41,2k2,R_0402,102,-81.1,90,top
R42,47k,R_0402,110,-88.8,90,top
R43,680,R_0402,111.825,-89.75,270,top
R44,0,R_0402,97.6,-91.35,0,top
R45,0,R_0402,102.45,-84.05,0,top
R46,0,R_0402,116.275,-93.375,0,top
R47,DNP,R_0402,102,-85.35,90,top
R48,2.2k,R_0402,116.24,-94.85,180,top
R49,2.2k,R_0402,114.55,-95.09,180,top
R50,2.2k,R_0402,113.28,-95.67,90,top
R51,2.2k,R_0402,112.44,-96.17,90,top
R52,DNP,R_0402,99.275,-91.35,0,top
R54,22,R_0402,126.8,-94.2,270,top
R58,47k,R_0402,108.45,-88.4,0,top
R59,47k,R_0402,111.5,-88.3,180,top
R60,47k,R_0402,106.3,-88.4,180,top
R61,100,R_0402,111,-83.1,270,top
R62,100,R_0402,103,-86.2,270,top
R63,47k,R_0402,120,-81.55,90,top
R64,47k,R_0402,92.58,-92.3,270,top
R65,47k,R_0402,93.4,-92.3,270,top
R66,DNP,R_0402,83.575,-100.35,0,top
R67,DNP,R_0402,83.575,-98.69,0,top
R68,DNP,R_0402,83.575,-99.52,0,top
R69,DNP,R_0402,83.575,-97.86,0,top
R70,47k,R_0402,89.29,-92.3,270,top
R71,47k,R_0402,90.11,-92.3,270,top
R72,47k,R_0402,91.75,-92.3,270,top
R73,47k,R_0402,94.22,-92.3,270,top
R74,47k,R_0402,93.99,-106.77,0,top
R75,47k,R_0402,97.825,-97.875,270,top
R76,22,R_0402,83.58,-97.03,0,top
R77,22,R_0402,90.93,-92.3,270,top
R78,200k,R_0402,110.33,-97.55,0,top
R79,2k2,R_0402,102.5,-107.375,270,top
R80,2k2,R_0402,102.325,-108.65,180,top
R81,22,R_0402,110.33,-96.65,0,top
R82,240,R_0402,97.825,-101.2,90,top
R83,240,R_0402,97.825,-102.85,270,top
R84,10M,R_0402,109.85,-104.8,270,top
R86,5k1,R_0402,106.2,-107.375,270,top
R87,2k2,R_0402,111.585,-96.17,90,top
R88,2k2,R_0402,115.35,-99.65,0,top
R89,6k04,R_0402,109.9,-100.825,270,top
R90,51,R_0402,115.325,-97.990001,180,top
R91,51,R_0402,115.335,-98.82,180,top
R92,51,R_0402,112.9,-97.41,180,top
R93,51,R_0402,112.89,-98.26,180,top
SW3,RST,SW_SPST_PTS810,128.4,-101.9,90,top
U1,AllWinner-S3(FBGA-234),FBGA-234(Pitch-0.65mm_Pad-0.3mm_11x11x1.08mm),103.85,-100.95,0,top
U3,AXP209(QFN-48),QFN-48-1EP_6x6mm_P0.4mm_EP4.05x4.05mm,119.2,-110.3,270,top
U4,SY8089AAAC,SOT-23-5,99.675,-113.525,90,top
U5,SY6280AAC,SOT-23-5,100.05,-119.05,90,top
Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,111.95,-105.8,90,top
Y1,12.288Mhz,Oscillator_3225,119,-97.95,90,top
Y3,24MHz,Oscillator_3225,112.2,-102.2,90,top
J3,USB,USB-C 16Pin,108.8,-120.3,180,top
